abide, anıt
acele, çabuk
acemi, toy
aciz, güçsüz
ad, isim
adalet, hak
adet, sayı
aka, büyük
akıl, us
akşam, gece
al, kırmızı
alelade, sıradan
aleni, açık
ara, fasıla
araba, otomobil
armağan, hediye
aşk, sevi
atik, seri
ayakkabı, pabuç
ayrım, fark
ayrıntı, detay
bacı, kız kardeş
bağışlama, affetme
basınç, tazyik
baş, kafa
bayağı, adi
bencil, egoist
beyaz, ak
bonkör, cömert
cennet, aden
cevap, yanıt
cılız, zayıf
cimri, pinti
cümle, tümce
çabuk, acele
çağrı, davet
çamur, balçık
çare, deva, umar
değerli, kıymetli
deneyim, tecrübe
denk, müsavi
deprem, zelzele
dil, lisan
dilek, istek, arzu
dize, mısra
doktor, hekim
dost, arkadaş
duygu, his
edebiyat, yazın
edep, adap
ehemniyet, önem
elbise, esbap
emniyet, güven
ender, nadir
eser, yapıt
eş anlamlı, anlamdaş
ev, konut
fakir, yoksul
fark, ayrım, nüans
fayda, yarar
fena, kötü
fikir, düşünce, ide
gemi, vapur
gezgin, seyyah
gezmek, dolaşmak
gezi, seyahat
gökyüzü, sema
görev, vazife
gözlem, rasat
güç, kuvvet
güçlü, kuvvetli
hadise, olay
hareket, kinetik
hasım, düşman
hasret, özlem
hatıra, anı
hediye, armağan
hekim, doktor
hısım, dost
ırak, uzak
ırmak, nehir
idadi, lise
idare, yönetim
ihtiyar, yaşlı
ihtiyaç, gereksinim
ilan, duyuru
ilişki, münasebet
imtihan, sınav
isim, ad
istasyon, gar, terminal
istikbal, gelecek
işçi, amele
ivedi, çabuk
izahat, açıklama
kabiliyet, yetenek
kafa, baş
kahin,  medyum, bilici
kalp, yürek
kanıt, delil
kara, siyah
kelime, sözcük
kılavuz, rehber
kırmızı, al
kıyı, kenar, sahil
kirli, pis
kişi, şahıs
kolay, basit
konuk, misafir
kural, kaide
kuvvetli, güçlü
küçük, ufak, minik
lider, önder
mal, meta
mani, engel
matem, yas
mektep,  okul
mektup, name
merkep, eşek
misafir, konuk
misal, örnek
mizah, gülmece
muharebe, savaş
mübarek, kutsal
namzet, aday
nefes, soluk
nehir, ırmak
nesil, kuşak
nezir, adak
ortalama, vasat
öğrenci, talebe
öğretmen, muallim
öğüt, nasihat
önder, lider
örnek, misal
öykü, hikâye
özverili, fedakâr
problem, sorun
rey,  oy
rüştiye,  ortaokul
rüzgar, yel
saadet, mutluluk
sabit, durağan, durgun
sağlık,  sıhhat
savaş, cenk, harp, muharebe
sebep, neden
sene, yüzyıl ya da asır
serüven, macera
sevinç, mutluluk
sınav, imtahan
sınıf, derslik
sitane, yıldız
siyah, kara
son, nihayet
sonbahar, güz
soru, sual
sorumluluk, mesuliyet
sözcük, kelime
tabiat, doğa
tartışma, münakaşa
temel, esas
tören, merasim
tren, şimendifer
tutsak, esir
tümce, cümle
uçak, tayyare
ulu, yüce
ulus, millet
uslu, akıllı
usta, ehil
uyarı, ikaz
uygarlık, medeniyet
uzak, ırak
üzüntü, tasa
vakit, zaman
vatan, yurt
vazife, görev
veteriner, baytar
vilayet, il
yanıt, cevap
yanlış, hata
yaşlı, ihtiyar
yel, rüzgar
yemek, aş
yetenek, beceri, kabiliyet
yıl, sene
yılmak, bıkmak
yoksul, fakir
yurt, vatan
yürek, kalp
yüz, sima, çehre, surat
zehir, agu
zengin, varlıklı
zırnık, metelik
zorluk, güçlük
